person,conjugation,gloss,tense,tense_base,tense_translation,preverb,preverb_translation,preverb_base,verb,verb_base,verb_type,verb_translation,subject,subject_translation,subject_base,mode,mode_translation,mode_base
3,pemîcisow,3-prs-pe-mîcisoVAI-3SG-ind-,prs,,present,pe,come and,pe,mîcisoVAI,mîciso,VAI,eat,3SG,s/he,wiya,ind,Independent,
3,apiw,3-prs-NONE-apiVAI-3SG-ind-,prs,,present,NONE,no preverb,mahkikway preverb,apiVAI,api,VAI,sit,3SG,s/he,wiya,ind,Independent,
3,mîcisow,3-prs-NONE-mîcisoVAI-3SG-ind-,prs,,present,NONE,no preverb,mahkikway preverb,mîcisoVAI,mîciso,VAI,eat,3SG,s/he,wiya,ind,Independent,
2,kikahatihapinâwâw,2-fut_def-ati-apiVAI-2PL-ind-,fut_def,ka,future definite,ati,begin to,ati,apiVAI,api,VAI,sit,2PL,you all,kiyanawaw,ind,Independent,
2,kikahatihapinaw,2-fut_def-ati-apiVAI-2I-ind-,fut_def,ka,future definite,ati,begin to,ati,apiVAI,api,VAI,sit,2I,we (and you),kiyanaw,ind,Independent,
2,kikahatimîcisonâwâw,2-fut_def-ati-mîcisoVAI-2PL-ind-,fut_def,ka,future definite,ati,begin to,ati,mîcisoVAI,mîciso,VAI,eat,2PL,you all,kiyanawaw,ind,Independent,
2,kikahatimîcisonaw,2-fut_def-ati-mîcisoVAI-2I-ind-,fut_def,ka,future definite,ati,begin to,ati,mîcisoVAI,mîciso,VAI,eat,2I,we (and you),kiyanaw,ind,Independent,
2,kikanitawihapinâwâw,2-fut_def-nitawi-apiVAI-2PL-ind-,fut_def,ka,future definite,nitawi,good at,nitawi,apiVAI,api,VAI,sit,2PL,you all,kiyanawaw,ind,Independent,
2,kikanitawihapinaw,2-fut_def-nitawi-apiVAI-2I-ind-,fut_def,ka,future definite,nitawi,good at,nitawi,apiVAI,api,VAI,sit,2I,we (and you),kiyanaw,ind,Independent,
2,kikanitawimîcisonâwâw,2-fut_def-nitawi-mîcisoVAI-2PL-ind-,fut_def,ka,future definite,nitawi,good at,nitawi,mîcisoVAI,mîciso,VAI,eat,2PL,you all,kiyanawaw,ind,Independent,
2,kikanitawimîcisonaw,2-fut_def-nitawi-mîcisoVAI-2I-ind-,fut_def,ka,future definite,nitawi,good at,nitawi,mîcisoVAI,mîciso,VAI,eat,2I,we (and you),kiyanaw,ind,Independent,
2,kikapehapinâwâw,2-fut_def-pe-apiVAI-2PL-ind-,fut_def,ka,future definite,pe,come and,pe,apiVAI,api,VAI,sit,2PL,you all,kiyanawaw,ind,Independent,
2,kikapehapinaw,2-fut_def-pe-apiVAI-2I-ind-,fut_def,ka,future definite,pe,come and,pe,apiVAI,api,VAI,sit,2I,we (and you),kiyanaw,ind,Independent,
2,kikapemîcisonâwâw,2-fut_def-pe-mîcisoVAI-2PL-ind-,fut_def,ka,future definite,pe,come and,pe,mîcisoVAI,mîciso,VAI,eat,2PL,you all,kiyanawaw,ind,Independent,
2,kikapemîcisonaw,2-fut_def-pe-mîcisoVAI-2I-ind-,fut_def,ka,future definite,pe,come and,pe,mîcisoVAI,mîciso,VAI,eat,2I,we (and you),kiyanaw,ind,Independent,
2,kikahapinâwâw,2-fut_def-NONE-apiVAI-2PL-ind-,fut_def,ka,future definite,NONE,no preverb,mahkikway preverb,apiVAI,api,VAI,sit,2PL,you all,kiyanawaw,ind,Independent,
2,kikahapinaw,2-fut_def-NONE-apiVAI-2I-ind-,fut_def,ka,future definite,NONE,no preverb,mahkikway preverb,apiVAI,api,VAI,sit,2I,we (and you),kiyanaw,ind,Independent,
2,kikamîcisonâwâw,2-fut_def-NONE-mîcisoVAI-2PL-ind-,fut_def,ka,future definite,NONE,no preverb,mahkikway preverb,mîcisoVAI,mîciso,VAI,eat,2PL,you all,kiyanawaw,ind,Independent,
2,kikamîcisonaw,2-fut_def-NONE-mîcisoVAI-2I-ind-,fut_def,ka,future definite,NONE,no preverb,mahkikway preverb,mîcisoVAI,mîciso,VAI,eat,2I,we (and you),kiyanaw,ind,Independent,
2,kiwîhatihapinâwâw,2-fut_int-ati-apiVAI-2PL-ind-,fut_int,wî,future intentional,ati,begin to,ati,apiVAI,api,VAI,sit,2PL,you all,kiyanawaw,ind,Independent,
2,kiwîhatihapinaw,2-fut_int-ati-apiVAI-2I-ind-,fut_int,wî,future intentional,ati,begin to,ati,apiVAI,api,VAI,sit,2I,we (and you),kiyanaw,ind,Independent,
2,kiwîhatimîcisonâwâw,2-fut_int-ati-mîcisoVAI-2PL-ind-,fut_int,wî,future intentional,ati,begin to,ati,mîcisoVAI,mîciso,VAI,eat,2PL,you all,kiyanawaw,ind,Independent,
2,kiwîhatimîcisonaw,2-fut_int-ati-mîcisoVAI-2I-ind-,fut_int,wî,future intentional,ati,begin to,ati,mîcisoVAI,mîciso,VAI,eat,2I,we (and you),kiyanaw,ind,Independent,
2,kiwînitawihapinâwâw,2-fut_int-nitawi-apiVAI-2PL-ind-,fut_int,wî,future intentional,nitawi,good at,nitawi,apiVAI,api,VAI,sit,2PL,you all,kiyanawaw,ind,Independent,
2,kiwînitawihapinaw,2-fut_int-nitawi-apiVAI-2I-ind-,fut_int,wî,future intentional,nitawi,good at,nitawi,apiVAI,api,VAI,sit,2I,we (and you),kiyanaw,ind,Independent,
2,kiwînitawimîcisonâwâw,2-fut_int-nitawi-mîcisoVAI-2PL-ind-,fut_int,wî,future intentional,nitawi,good at,nitawi,mîcisoVAI,mîciso,VAI,eat,2PL,you all,kiyanawaw,ind,Independent,
2,kiwînitawimîcisonaw,2-fut_int-nitawi-mîcisoVAI-2I-ind-,fut_int,wî,future intentional,nitawi,good at,nitawi,mîcisoVAI,mîciso,VAI,eat,2I,we (and you),kiyanaw,ind,Independent,
2,kiwîpehapinâwâw,2-fut_int-pe-apiVAI-2PL-ind-,fut_int,wî,future intentional,pe,come and,pe,apiVAI,api,VAI,sit,2PL,you all,kiyanawaw,ind,Independent,
2,kiwîpehapinaw,2-fut_int-pe-apiVAI-2I-ind-,fut_int,wî,future intentional,pe,come and,pe,apiVAI,api,VAI,sit,2I,we (and you),kiyanaw,ind,Independent,
2,kiwîpemîcisonâwâw,2-fut_int-pe-mîcisoVAI-2PL-ind-,fut_int,wî,future intentional,pe,come and,pe,mîcisoVAI,mîciso,VAI,eat,2PL,you all,kiyanawaw,ind,Independent,
2,kiwîpemîcisonaw,2-fut_int-pe-mîcisoVAI-2I-ind-,fut_int,wî,future intentional,pe,come and,pe,mîcisoVAI,mîciso,VAI,eat,2I,we (and you),kiyanaw,ind,Independent,
2,kiwîhapinâwâw,2-fut_int-NONE-apiVAI-2PL-ind-,fut_int,wî,future intentional,NONE,no preverb,mahkikway preverb,apiVAI,api,VAI,sit,2PL,you all,kiyanawaw,ind,Independent,
2,kiwîhapinaw,2-fut_int-NONE-apiVAI-2I-ind-,fut_int,wî,future intentional,NONE,no preverb,mahkikway preverb,apiVAI,api,VAI,sit,2I,we (and you),kiyanaw,ind,Independent,
2,kiwîmîcisonâwâw,2-fut_int-NONE-mîcisoVAI-2PL-ind-,fut_int,wî,future intentional,NONE,no preverb,mahkikway preverb,mîcisoVAI,mîciso,VAI,eat,2PL,you all,kiyanawaw,ind,Independent,
2,kiwîmîcisonaw,2-fut_int-NONE-mîcisoVAI-2I-ind-,fut_int,wî,future intentional,NONE,no preverb,mahkikway preverb,mîcisoVAI,mîciso,VAI,eat,2I,we (and you),kiyanaw,ind,Independent,
2,kikîhatihapinâwâw,2-pst-ati-apiVAI-2PL-ind-,pst,kî,past,ati,begin to,ati,apiVAI,api,VAI,sit,2PL,you all,kiyanawaw,ind,Independent,
2,kikîhatihapinaw,2-pst-ati-apiVAI-2I-ind-,pst,kî,past,ati,begin to,ati,apiVAI,api,VAI,sit,2I,we (and you),kiyanaw,ind,Independent,
2,kikîhatimîcisonâwâw,2-pst-ati-mîcisoVAI-2PL-ind-,pst,kî,past,ati,begin to,ati,mîcisoVAI,mîciso,VAI,eat,2PL,you all,kiyanawaw,ind,Independent,
2,kikîhatimîcisonaw,2-pst-ati-mîcisoVAI-2I-ind-,pst,kî,past,ati,begin to,ati,mîcisoVAI,mîciso,VAI,eat,2I,we (and you),kiyanaw,ind,Independent,
2,kikînitawihapinâwâw,2-pst-nitawi-apiVAI-2PL-ind-,pst,kî,past,nitawi,good at,nitawi,apiVAI,api,VAI,sit,2PL,you all,kiyanawaw,ind,Independent,
2,kikînitawihapinaw,2-pst-nitawi-apiVAI-2I-ind-,pst,kî,past,nitawi,good at,nitawi,apiVAI,api,VAI,sit,2I,we (and you),kiyanaw,ind,Independent,
2,kikînitawimîcisonâwâw,2-pst-nitawi-mîcisoVAI-2PL-ind-,pst,kî,past,nitawi,good at,nitawi,mîcisoVAI,mîciso,VAI,eat,2PL,you all,kiyanawaw,ind,Independent,
2,kikînitawimîcisonaw,2-pst-nitawi-mîcisoVAI-2I-ind-,pst,kî,past,nitawi,good at,nitawi,mîcisoVAI,mîciso,VAI,eat,2I,we (and you),kiyanaw,ind,Independent,
2,kikîpehapinâwâw,2-pst-pe-apiVAI-2PL-ind-,pst,kî,past,pe,come and,pe,apiVAI,api,VAI,sit,2PL,you all,kiyanawaw,ind,Independent,
